Tempo,Temperatura de Entrada do Multijato,Temperatura de saída no multijato,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor,Abertura da válvula de alimentação,Nível do cozedor,Capacitância do cozedor,Pressão do cozedor
15-ago.-16 00:00:00,"38,59","49,51",Bad,"2,42",Bad,"0,15","87,67","1,90","87,66","1,53","35,39","71,85","35,41","22,46","25,97","35,69","25,97","22,30","67,87","80,60","67,79","24,13","37,84","63,41","37,69","23,29","31,84","53,84","31,86","22,39","35,43","81,23","35,51","22,78"
15-ago.-16 00:10:00,"38,61","50,27",Bad,"2,45",Bad,"0,14","87,71","2,14","87,69","1,48","36,44","75,18","36,46","22,53","21,24","42,38","21,24","22,04","67,72","83,63","67,79","24,09","38,57","66,54","38,10","23,17","31,79","57,88","31,84","22,34","35,93","83,80","35,50","22,68"
15-ago.-16 00:20:00,"38,65","49,52",Bad,"2,49",Bad,"0,13","87,75","1,91","87,72","1,56","35,90","78,30","35,90","22,74","25,49","47,17","25,49","22,34","68,18","86,37","68,08","24,18","37,78","69,97","37,90","23,38","32,48","61,85","32,44","22,40","36,12","86,62","35,86","22,83"
15-ago.-16 00:30:00,"38,51","49,32",Bad,"6,27",Bad,"0,10","87,78","1,91","87,76","1,56","35,69","81,39","35,62","22,69","24,07","50,45","24,07","22,23","67,82","88,73","67,82","24,13","38,15","72,94","38,18","23,37","31,81","65,51","31,81","22,26","31,92","88,70","31,92","22,85"
15-ago.-16 00:40:00,"38,41","49,47",Bad,"20,44",Bad,"-0,18","87,82","2,01","87,78","1,50","35,46","84,55","35,50","22,70","22,31","53,86","22,28","22,42","67,44","91,25","67,44","24,16","37,40","75,78","37,21","23,56","31,56","69,99","31,54","22,47","28,22","46,35","28,23","0,34"
15-ago.-16 00:50:00,"38,41","48,74",Bad,"2,69",Bad,"0,05","87,83","2,00","87,82","1,55","36,15","87,92","36,24","23,00","24,92","58,47","24,85","22,85","67,58","94,14","67,61","24,40","39,16","80,30","39,11","23,99","32,38","73,83","32,25","22,93",Bad,"0,47",Bad,"10,11"
15-ago.-16 01:00:00,"38,37","47,82",Bad,"2,67",Bad,"0,06","87,87","2,01","87,93","1,54","37,58","91,24","37,59","22,92","24,43","62,25","24,43","22,36","54,54","96,36","54,52","24,42","38,54","82,44","38,42","23,85","32,07","77,13","32,07","22,75","36,36","29,02","36,34","22,56"
15-ago.-16 01:10:00,"38,30","48,75",Bad,"2,56",Bad,"0,04","87,93","2,00","87,91","1,52","17,50","92,51","17,50","23,44","19,58","65,23","19,72","22,74","55,82","66,00","55,81","-0,17","36,39","85,04","36,19","24,08","30,50","80,14","30,49","23,02","33,05","40,76","32,93","21,84"
15-ago.-16 01:20:00,"38,27","48,46",Bad,"2,70",Bad,"0,01","87,93","2,08","87,92","1,48","29,45","9,62","29,48","-0,37","25,33","69,45","25,51","23,61",Bad,"1,22",Bad,"0,31","40,39","88,34","40,81","24,54","32,56","83,54","32,38","23,57","34,63","45,05","34,64","22,41"
15-ago.-16 01:30:00,"38,19","48,29",Bad,"2,44",Bad,"0,06","87,94","1,94","87,93","1,54","50,87","5,22","50,87","23,79","24,63","71,30","24,72","22,99","73,68","37,51","73,68","22,63","38,59","89,93","37,77","24,17","31,47","85,53","31,39","23,26","34,37","48,05","34,37","22,34"
